,predict proba,predict value
TCGA-EM-A1CW-01,0.9458637237548828,N1
TCGA-EM-A1YC-01,0.10638435184955597,N0
TCGA-EM-A1YD-01,0.10444220900535583,N0
TCGA-EM-A1YE-01,0.032081663608551025,N0
TCGA-EM-A22I-01,0.0906948521733284,N0
TCGA-EM-A22J-01,3.91639876085037e-09,N0
TCGA-EM-A22K-01,0.9781477451324463,N1
TCGA-EM-A22L-01,0.9873698353767395,N1
TCGA-EM-A22M-01,0.9723294377326965,N1
TCGA-EM-A22N-01,0.9999208450317383,N1
TCGA-EM-A22O-01,0.694251537322998,N1
TCGA-EM-A22P-01,0.9879647493362427,N1
TCGA-EM-A22Q-01,1.4510881385376706e-09,N0
TCGA-EM-A2CK-01,0.9979516863822937,N1
TCGA-EM-A2CM-01,0.0002364647516515106,N0
TCGA-EM-A2CN-01,8.30179124022834e-06,N0
TCGA-EM-A2CP-01,0.07358915358781815,N0
TCGA-EM-A2CQ-01,0.919353723526001,N1
TCGA-EM-A2CR-01,0.05332835391163826,N0
TCGA-EM-A2CS-01,0.9749284386634827,N1
TCGA-EM-A2CT-01,0.0002653231204021722,N0
TCGA-EM-A2CU-01,0.8174449801445007,N1
TCGA-EM-A2OV-01,0.9982051849365234,N1
TCGA-EM-A2OX-01,0.9895771741867065,N1
TCGA-EM-A2OY-01,0.9929929971694946,N1
TCGA-EM-A2OZ-01,0.17587271332740784,N0
TCGA-EM-A2P0-01,0.9760515689849854,N1
TCGA-EM-A2P1-01,0.9998869895935059,N1
TCGA-EM-A2P2-01,0.2947292625904083,N0
TCGA-EM-A3AJ-01,0.1683420091867447,N0
TCGA-EM-A3AK-01,0.91673344373703,N1
TCGA-EM-A3AL-01,1.710926795794876e-07,N0
TCGA-EM-A3AN-01,0.9922967553138733,N1
TCGA-EM-A3AO-01,0.8171807527542114,N1
TCGA-EM-A3AQ-01,0.5146062970161438,N1
TCGA-EM-A3AR-01,0.9984713196754456,N1
TCGA-EM-A3FJ-01,0.7843680381774902,N1
TCGA-EM-A3FK-01,0.4479452073574066,N0
TCGA-EM-A3FM-01,0.9727779030799866,N1
TCGA-EM-A3FN-01,0.9988860487937927,N1
TCGA-EM-A3FO-01,0.09070523828268051,N0
TCGA-EM-A3FP-01,9.730184501677286e-06,N0
TCGA-EM-A3FQ-01,0.683579683303833,N1
TCGA-EM-A3FR-01,0.9707691073417664,N1
TCGA-EM-A3O3-01,0.9988425374031067,N1
TCGA-EM-A3O8-01,8.426270505879074e-05,N0
TCGA-EM-A3O9-01,1.486230805092248e-09,N0
TCGA-EM-A3OA-01,0.9997085928916931,N1
TCGA-EM-A3OB-01,0.0016651129117235541,N0
TCGA-EM-A3ST-01,0.9969815611839294,N1
TCGA-EM-A3SU-01,0.960258960723877,N1
TCGA-EM-A3SX-01,0.905565083026886,N1
TCGA-EM-A3SZ-01,0.8593103289604187,N1
TCGA-EM-A4FF-01,0.6934366822242737,N1
TCGA-EM-A4FM-01,0.999994158744812,N1
TCGA-EM-A4FN-01,0.9969407320022583,N1
TCGA-EM-A4FO-01,0.8979616761207581,N1
TCGA-EM-A4FQ-01,0.30302149057388306,N0
TCGA-EM-A4FR-01,0.9989058971405029,N1
TCGA-EM-A4FV-01,0.0036901363637298346,N0
TCGA-EM-A4G1-01,1.3344512808544096e-05,N0
TCGA-ET-A25G-01,0.09102122485637665,N0
TCGA-ET-A25I-01,0.9978221654891968,N1
TCGA-ET-A25J-01,0.2426743358373642,N0
TCGA-ET-A25K-01,0.9808030128479004,N1
TCGA-ET-A25L-01,0.9998277425765991,N1
TCGA-ET-A25M-01,0.9835684895515442,N1
TCGA-ET-A25N-01,0.9999940395355225,N1
TCGA-ET-A25O-01,0.9943493008613586,N1
TCGA-ET-A25P-01,0.1678057760000229,N0
TCGA-ET-A2MX-01,0.9521442651748657,N1
TCGA-ET-A2MZ-01,0.17163512110710144,N0
TCGA-ET-A2N0-01,0.08655620366334915,N0
TCGA-ET-A2N4-01,0.00033281330252066255,N0
TCGA-ET-A39K-01,0.9782024025917053,N1
TCGA-ET-A39L-01,0.790157675743103,N1
TCGA-ET-A39O-01,0.12403573095798492,N0
TCGA-ET-A39P-01,0.5507010221481323,N1
TCGA-ET-A39R-01,0.7475734353065491,N1
TCGA-ET-A39S-01,0.6238363981246948,N1
TCGA-ET-A39T-01,0.32229092717170715,N0
TCGA-ET-A3BO-01,0.15856313705444336,N0
TCGA-ET-A3BP-01,0.9978862404823303,N1
TCGA-ET-A3BQ-01,0.8338790535926819,N1
TCGA-ET-A3BS-01,0.9194065928459167,N1
TCGA-ET-A3BT-01,0.8224498629570007,N1
TCGA-ET-A3BU-01,0.8728439211845398,N1
TCGA-ET-A3BV-01,0.9707570672035217,N1
TCGA-ET-A3BX-01,0.5423054695129395,N1
TCGA-ET-A3DQ-01,0.3020370900630951,N0
TCGA-ET-A3DR-01,0.9914109706878662,N1
TCGA-ET-A3DS-01,0.999215841293335,N1
TCGA-ET-A3DT-01,0.9641693830490112,N1
TCGA-ET-A3DU-01,0.9951661825180054,N1
TCGA-ET-A3DV-01,7.764911380547801e-09,N0
TCGA-ET-A3DW-01,0.9991763234138489,N1
TCGA-ET-A40P-01,0.01840333454310894,N0
TCGA-ET-A40Q-01,0.9979702830314636,N1
TCGA-ET-A40R-01,0.993096649646759,N1
TCGA-ET-A40S-01,0.9246666431427002,N1
TCGA-ET-A40T-01,0.6237879395484924,N1
TCGA-ET-A4KN-01,0.0021687245462089777,N0
TCGA-FE-A22Z-01,0.9971392154693604,N1
TCGA-FE-A230-01,0.4900893270969391,N0
TCGA-FE-A231-01,0.9999759197235107,N1
TCGA-FE-A234-01,0.5920531749725342,N1
TCGA-FE-A235-01,0.940645694732666,N1
TCGA-FE-A236-01,0.24277164041996002,N0
TCGA-FE-A237-01,0.9656389355659485,N1
TCGA-FE-A238-01,0.8639886975288391,N1
TCGA-FE-A239-01,0.9982193112373352,N1
TCGA-FE-A23A-01,0.5746855735778809,N1
TCGA-FE-A3PA-01,0.9967960715293884,N1
TCGA-FE-A3PB-01,0.9669405817985535,N1
TCGA-FE-A3PC-01,0.9953265190124512,N1
TCGA-FE-A3PD-01,0.7806899547576904,N1
TCGA-FK-A3S3-01,0.8225955367088318,N1
TCGA-FK-A3SB-01,0.47039595246315,N0
TCGA-FK-A3SD-01,1.7270463947838266e-09,N0
TCGA-FK-A3SE-01,0.9999812841415405,N1
TCGA-FK-A3SG-01,0.9998461008071899,N1
TCGA-FK-A3SH-01,0.7439280152320862,N1
TCGA-FK-A4UB-01,0.9985149502754211,N1
TCGA-FY-A2QD-01,0.5041214823722839,N1
TCGA-FY-A3I4-01,0.41127851605415344,N0
TCGA-FY-A3I5-01,0.0487230084836483,N0
TCGA-FY-A3NM-01,0.9996676445007324,N1
TCGA-FY-A3NN-01,0.99540776014328,N1
TCGA-FY-A3NP-01,0.003593162167817354,N0
TCGA-FY-A3ON-01,0.7986557483673096,N1
TCGA-FY-A3R6-01,0.15016430616378784,N0
TCGA-FY-A3R7-01,0.9970570802688599,N1
TCGA-FY-A3R9-01,0.9981022477149963,N1
TCGA-FY-A3TY-01,0.5904253721237183,N1
TCGA-FY-A3W9-01,0.9922162294387817,N1
TCGA-FY-A3YR-01,0.9719913601875305,N1
TCGA-FY-A40K-01,0.8310147523880005,N1
TCGA-FY-A40L-01,0.9287586212158203,N1
TCGA-FY-A40M-01,0.01935308612883091,N0
TCGA-FY-A40N-01,0.9875136017799377,N1
TCGA-FY-A4B3-01,0.9846547842025757,N1
TCGA-FY-A4B4-01,0.14751841127872467,N0
TCGA-GE-A2C6-01,0.9883413910865784,N1
TCGA-H2-A26U-01,0.48808184266090393,N0
TCGA-H2-A2K9-01,0.9992863535881042,N1
TCGA-H2-A3RH-01,0.00042063274304382503,N0
TCGA-H2-A3RI-01,0.9988682270050049,N1
TCGA-H2-A421-01,0.9878854751586914,N1
TCGA-H2-A422-01,0.6595225930213928,N1
TCGA-IM-A3EB-01,0.9744420051574707,N1
TCGA-IM-A3ED-01,0.19912360608577728,N0
TCGA-IM-A3U2-01,0.9903788566589355,N1
TCGA-IM-A3U3-01,0.9936407208442688,N1
TCGA-IM-A41Y-01,0.9906907081604004,N1
TCGA-IM-A41Z-01,0.04847100004553795,N0
TCGA-IM-A420-01,0.4551864266395569,N0
TCGA-IM-A4EB-01,0.5303636789321899,N1
TCGA-J8-A3NZ-01,0.03318828344345093,N0
TCGA-J8-A3O0-01,0.8428576588630676,N1
TCGA-J8-A3O1-01,0.8527861833572388,N1
TCGA-J8-A3O2-01,0.9885812401771545,N1
TCGA-J8-A3YD-01,0.9721998572349548,N1
TCGA-J8-A3YE-01,0.996189296245575,N1
TCGA-J8-A3YF-01,0.9952278137207031,N1
TCGA-J8-A3YG-01,0.02598200924694538,N0
TCGA-J8-A3YH-01,0.15598060190677643,N0
TCGA-J8-A42S-01,0.8899289965629578,N1
TCGA-J8-A4HW-01,0.9912816286087036,N1
TCGA-J8-A4HY-01,0.9581525921821594,N1
TCGA-KS-A41F-01,0.8918409943580627,N1
TCGA-KS-A41I-01,0.9832956194877625,N1
TCGA-KS-A41J-01,0.9950172305107117,N1
TCGA-KS-A41L-01,0.999748170375824,N1
TCGA-KS-A4I1-01,0.9762187600135803,N1
TCGA-KS-A4I3-01,0.5013824105262756,N1
TCGA-KS-A4I5-01,0.9913308620452881,N1
TCGA-KS-A4I7-01,0.17400038242340088,N0
TCGA-KS-A4I9-01,0.8317372798919678,N1
TCGA-KS-A4IB-01,0.9939870834350586,N1
TCGA-KS-A4IC-01,0.4902556538581848,N0
TCGA-KS-A4ID-01,0.970038652420044,N1
TCGA-L6-A4EP-01,0.9407662153244019,N1
TCGA-L6-A4EQ-01,0.9467714428901672,N1
TCGA-L6-A4EU-01,0.9984464049339294,N1
TCGA-MK-A4N6-01,0.9999994039535522,N1
TCGA-MK-A4N7-01,0.4842597246170044,N0
TCGA-MK-A4N9-01,0.9932795166969299,N1
TCGA-QD-A8IV-01,0.9991733431816101,N1
GSM1481838,0.2326156347990036,N0
GSM1481839,0.9999991655349731,N1
GSM1481840,0.999998927116394,N1
GSM1481841,0.09493438154459,N0
GSM1481842,0.9925589561462402,N1
GSM1481843,0.5776742100715637,N1
GSM1481844,1.0,N1
GSM1481845,0.9764344692230225,N1
GSM1481846,0.9999479055404663,N1
GSM1481847,0.9999983310699463,N1
GSM1481848,0.9934263229370117,N1
GSM1481849,0.9999986886978149,N1
GSM1481850,0.9999998807907104,N1
GSM1481851,0.8703427314758301,N1
GSM1481852,0.15632128715515137,N0
GSM1481853,7.597421063110232e-05,N0
GSM1481854,0.9993302822113037,N1
GSM1481855,0.9997269511222839,N1
GSM1481856,0.9987034797668457,N1
GSM1481857,0.9999991655349731,N1
GSM1481858,0.033722732216119766,N0
GSM1481859,0.9999979734420776,N1
GSM1481860,0.0050008418038487434,N0
GSM1481861,0.9999831914901733,N1
GSM1481862,0.0002878820232581347,N0
GSM1481863,0.0003742479020729661,N0
GSM1481864,0.945500373840332,N1
GSM1481865,0.9999865293502808,N1
GSM1481866,0.9999986886978149,N1
GSM1481867,0.16936010122299194,N0
GSM1481868,0.0012504749465733767,N0
GSM1481869,0.9999912977218628,N1
GSM1481870,0.987024188041687,N1
GSM1481871,0.9999840259552002,N1
GSM1481872,0.9999988079071045,N1
GSM1481873,0.9999997615814209,N1
GSM1481874,0.9999480247497559,N1
GSM1481875,0.9999946355819702,N1
GSM1481876,0.8041220903396606,N1
GSM1481877,0.03279326111078262,N0
GSM1481878,0.9999988079071045,N1
GSM1481879,0.9997720122337341,N1
GSM1481880,0.7654358744621277,N1
GSM1481881,0.8204312324523926,N1
GSM1481882,0.9999994039535522,N1
GSM1481883,0.9996277093887329,N1
GSM1481884,1.0,N1
GSM1481885,0.9949709177017212,N1
GSM1481886,0.9999998807907104,N1
GSM1481887,0.9999697208404541,N1
GSM1481888,0.0029577678069472313,N0
GSM1481889,0.9999988079071045,N1
GSM1481890,0.9999998807907104,N1
GSM1481891,1.663131683926622e-06,N0
GSM1481892,1.0,N1
GSM1481893,0.9632723331451416,N1
GSM1481894,0.9999041557312012,N1
GSM1481895,0.19943898916244507,N0
GSM1481896,0.9970722198486328,N1
GSM1481897,0.9999914169311523,N1
GSM1481898,0.006668564397841692,N0
GSM1481899,1.0,N1
GSM1481900,0.9999560117721558,N1
GSM1481901,0.00325507833622396,N0
GSM1481902,0.00028470790130086243,N0
GSM1481903,0.999677300453186,N1
GSM1481904,0.9345452189445496,N1
GSM1481905,0.9999998807907104,N1
GSM1481906,0.023079775273799896,N0
GSM1481907,5.797776611871086e-05,N0
GSM1481908,0.9999985694885254,N1
GSM1481909,0.9999997615814209,N1
GSM1481910,0.0007505656685680151,N0
GSM1481911,0.9884566068649292,N1
GSM1481912,0.0033337827771902084,N0
GSM1481913,0.01773209497332573,N0
GSM1481914,0.579573392868042,N1
GSM1481915,0.9994227886199951,N1
GSM1481916,0.19812816381454468,N0
GSM1481917,0.0002735015004873276,N0
GSM1481918,0.9731497168540955,N1
GSM1481919,0.0006006245384924114,N0
GSM1481920,0.0025711124762892723,N0
GSM1481921,0.9999997615814209,N1
GSM1481922,0.9985743761062622,N1
GSM1481923,0.0001331993262283504,N0
GSM1481924,0.006404750049114227,N0
GSM1481925,0.9999990463256836,N1
GSM1481926,0.999539852142334,N1
GSM1481927,0.9999910593032837,N1
GSM1481928,0.9999974966049194,N1
GSM1481929,0.9999878406524658,N1
